rank,profile_id,rating,name,highest_rating,streak,lowest_streak,highest_streak,games,wins,losses,drops,last_match,last_match_time
6189,267983,1245,parktopia,1325.0,5,-8.0,6.0,216,115,101,3,1594680729,1594680729
6190,882984,1245,Jabari,1282.0,4,-6.0,5.0,91,49,42,0,1594496286,1594496286
6191,720894,1245,eldondau,1253.0,2,-4.0,8.0,48,26,22,0,1594496953,1594496953
6192,668463,1245,屁屁人,1323.0,5,-8.0,6.0,422,219,203,13,1594114486,1594114486
6193,581122,1245,boulgaroktonos,1287.0,1,-4.0,5.0,78,42,36,0,1593381700,1593381700
6194,533765,1245,geno376,1315.0,-1,-7.0,4.0,287,147,140,2,1594627947,1594627947
6195,237859,1245,dumme_Pizza 23,1275.0,2,-4.0,6.0,112,63,49,5,1594673976,1594673976
6196,523511,1245,Chernobs,1277.0,-1,-1.0,1.0,11,8,3,0,1594667538,1594667538
6197,495543,1245,[Noob] inator,1287.0,-1,-5.0,8.0,182,96,86,5,1594574986,1594574986
6198,488317,1245,Lacsap,1276.0,-1,-6.0,5.0,121,65,56,1,1594568111,1594568111
6199,442180,1245,Pitter Patter,1245.0,3,-3.0,3.0,47,27,20,0,1594143928,1594143928
6200,2832668,1245,g25701973,1245.0,2,-6.0,7.0,360,190,170,1,1594655869,1594655869
6201,2808288,1245,CrazyTeddy,1270.0,1,-5.0,6.0,178,94,84,1,1594649831,1594649831
6202,2784968,1245,BarBarianRuleRR,1340.0,-1,-7.0,4.0,42,23,19,0,1593462962,1593462962
6203,2776268,1245,bulolo,1245.0,3,3.0,3.0,10,8,2,0,1593666264,1593666264
6204,2588430,1245,tiwoelbitsch,1245.0,4,-3.0,4.0,21,13,8,4,1593930720,1593930720
6205,395143,1245,Ramblin1,1245.0,2,-5.0,7.0,424,222,202,20,1594263461,1594263461
6206,2386120,1245,Martin Eden,1276.0,-1,-4.0,5.0,50,30,20,1,1594318337,1594318337
6207,2078885,1245,KERIM YILDIZ,1273.0,3,-6.0,5.0,85,48,37,2,1594668458,1594668458
6208,1991155,1245,Willbo,1263.0,2,-6.0,5.0,150,81,69,2,1593554761,1593554761
6209,1916726,1245,alphathalas,1245.0,2,-11.0,6.0,67,38,29,3,1593898932,1593898932
6210,1752209,1245,GrimTripper,1272.0,1,-3.0,3.0,24,15,9,0,1594506503,1594506503
6211,306298,1245,bullmeister,1312.0,-4,-7.0,4.0,179,95,84,0,1593905489,1593905489
6212,1417705,1245,barth,1299.0,-2,-2.0,1.0,13,5,8,0,1593968682,1593968682
6213,299269,1245,Lina,1289.0,-2,-7.0,8.0,443,230,213,17,1594588579,1594588579
6214,1325298,1245,Jackma,1245.0,1,1.0,1.0,10,8,2,0,1592731823,1592731823
6215,1201048,1245,Jean-Michel Pelleteuse,1245.0,1,-4.0,11.0,75,48,27,0,1594384811,1594384811
6216,1135472,1244,M2zix,1287.0,1,-7.0,7.0,225,120,105,8,1593715440,1593715440
6217,778031,1244,SilverBane`,1244.0,1,-3.0,7.0,68,41,27,2,1594569129,1594569129
6218,700190,1244,Thomas,1247.0,1,-7.0,6.0,405,210,195,5,1594546052,1594546052
6219,243942,1244,TMouse,1276.0,-2,-4.0,6.0,119,66,53,6,1592771841,1592771841
6220,242063,1244,Akatsu,1260.0,1,-7.0,6.0,169,87,82,7,1593366667,1593366667
6221,241419,1244,Booty,1305.0,-4,-4.0,6.0,28,17,11,1,1594064277,1594064277
6222,241323,1244,1nMemory,1261.0,1,-7.0,9.0,230,125,105,5,1594678561,1594678561
6223,238719,1244,Bicchio,1302.0,-1,-6.0,4.0,63,34,29,0,1592563980,1592563980
6224,456939,1244,VeXor EU,1244.0,4,-5.0,7.0,342,181,161,9,1593539306,1593539306
6225,229195,1244,kingnothing,1301.0,3,-9.0,7.0,103,57,46,2,1594559275,1594559275
6226,2911407,1244,feel fine,1319.0,-2,-5.0,6.0,52,30,22,1,1594563111,1594563111
6227,2627145,1244,T90_U_SUCK,1424.0,-1,-5.0,5.0,42,22,20,0,1593699550,1593699550
6228,2587548,1244,Wuuulo,1244.0,7,-5.0,7.0,176,94,82,8,1594575280,1594575280
6229,2571327,1244,boardking,1323.0,-3,-3.0,6.0,64,35,29,2,1594137871,1594137871
6230,2570725,1244,此间少年,1244.0,7,-5.0,7.0,171,93,78,2,1594558152,1594558152
6231,2428708,1244,Ando,1323.0,1,-5.0,7.0,99,53,46,0,1593725143,1593725143
6232,2404364,1244,Jimmu,1315.0,1,-3.0,2.0,27,16,11,0,1593027166,1593027166
6233,2333525,1244,berkant_yalcin,1244.0,1,-3.0,6.0,24,12,12,0,1594633710,1594633710
6234,373664,1244,Space Oddity,1329.0,-2,-4.0,3.0,24,13,11,0,1594270353,1594270353
6235,2291274,1244,Khallean,1272.0,-1,-1.0,3.0,14,10,4,0,1594674140,1594674140
6236,2109856,1244,TarasaK,1247.0,1,-3.0,5.0,51,31,20,1,1594666297,1594666297
6237,2093153,1244,MMP,1292.0,-3,-3.0,11.0,36,23,13,0,1593476791,1593476791
6238,351844,1244,Canarr_Macko,1338.0,1,-7.0,9.0,460,237,223,16,1594289845,1594289845
6239,1936696,1244,HighPriestCaco,1376.0,-1,-6.0,8.0,319,167,152,20,1594686365,1594686365
6240,1911983,1244,_SenSeY_StorM_,1289.0,2,-4.0,4.0,24,15,9,0,1592532601,1592532601
6241,1780363,1244,[MRDKY]TATARIUS,1273.0,-2,-2.0,4.0,30,17,13,0,1594138874,1594138874
6242,1744900,1244,ZeyXaper,1324.0,-3,-3.0,4.0,40,21,19,1,1593680617,1593680617
6243,112521,1244,[ADV] Cupidiux007,1292.0,-1,-3.0,9.0,79,42,37,3,1592783240,1592783240
6244,1392518,1244,Lauchina,1246.0,1,-2.0,4.0,32,21,11,0,1594676744,1594676744
6245,1385439,1244,anon642,1309.0,2,-6.0,9.0,168,90,78,8,1594641404,1594641404
6246,1305497,1244,vindonissa,1379.0,-2,-6.0,8.0,378,192,186,10,1594678861,1594678861
6247,1305477,1244,Ulises,1244.0,1,-6.0,6.0,68,37,31,1,1594514847,1594514847
6248,285604,1243,peregringamer,1276.0,-2,-11.0,9.0,407,211,196,23,1594600151,1594600151
6249,1066742,1243,total_score,1373.0,1,-7.0,5.0,290,149,141,0,1594482395,1594482395
6250,270767,1243,Christi4n,1263.0,1,-5.0,5.0,134,74,60,0,1594326853,1594326853
6251,269361,1243,Whiskered,1243.0,6,-3.0,6.0,56,31,25,0,1592654525,1592654525
6252,213376,1243,TaySwizzle 13,1264.0,1,-6.0,6.0,309,159,150,8,1594661937,1594661937
6253,667756,1243,Tino,1243.0,1,-1.0,1.0,11,8,3,0,1594591294,1594591294
6254,248832,1243,aliyesilcimen,1359.0,3,-8.0,7.0,385,197,188,7,1594551901,1594551901
6255,241314,1243,DGK,1258.0,-1,-1.0,5.0,21,11,10,0,1593950625,1593950625
6256,558324,1243,BFalcon,1330.0,-1,-6.0,8.0,364,186,178,6,1594690010,1594690010
6257,495361,1243,Lickwidd,1261.0,1,-6.0,9.0,113,66,47,7,1593765711,1593765711
6258,233961,1243,Scorpison,1264.0,-1,-6.0,7.0,199,107,92,2,1594673479,1594673479
6259,233726,1243,Meh,1289.0,-2,-6.0,8.0,374,192,182,22,1594605977,1594605977
6260,3047557,1243,STORM_Captjow,1266.0,7,-6.0,8.0,75,41,34,0,1594693736,1594693736
6261,432113,1243,ThePope,1260.0,-1,-3.0,6.0,93,52,41,6,1593622334,1593622334
6262,2826571,1243,Christophe,1294.0,-3,-3.0,4.0,21,13,8,0,1593313148,1593313148
6263,2686651,1243,JaWasIsDenn,1305.0,2,-6.0,10.0,197,102,95,1,1594677745,1594677745
6264,2646802,1243,__la patate,1295.0,1,-4.0,4.0,42,26,16,0,1594227944,1594227944
6265,2580915,1243,Lagmonster,1272.0,-1,-1.0,5.0,12,9,3,0,1593683467,1593683467
6266,2566831,1243,Eleyja,1273.0,-1,-1.0,2.0,12,9,3,0,1592988946,1592988946
6267,2562775,1243,mahl-tee,1307.0,-3,-5.0,3.0,48,27,21,0,1594128074,1594128074
6268,395585,1243,Mansion,1337.0,1,-5.0,4.0,67,36,31,0,1593576840,1593576840
6269,2460982,1243,xingchen,1265.0,3,-6.0,7.0,142,78,64,0,1593168896,1593168896
6270,385240,1243,CornelioBruto,1264.0,1,-7.0,7.0,129,72,57,3,1593864269,1593864269
6271,2430972,1243,Greco,1274.0,-1,-9.0,5.0,191,103,88,3,1594687652,1594687652
6272,2388761,1243,Nacho Problem,1315.0,-1,-6.0,10.0,195,108,87,3,1594687735,1594687735
6273,2378676,1243,PaTiNhO,1281.0,-2,-4.0,4.0,64,35,29,0,1594585452,1594585452
6274,221463,1243,proudFEET,1243.0,4,-2.0,4.0,15,11,4,0,1594234471,1594234471
6275,342001,1243,Aasfresser,1307.0,4,-4.0,4.0,30,18,12,0,1594580469,1594580469
6276,1890779,1243,gkhn0,1270.0,1,-5.0,9.0,247,125,122,4,1594691944,1594691944
6277,1841478,1243,arlen.vangogh,1267.0,-1,-6.0,5.0,199,103,96,2,1594672674,1594672674
6278,1700508,1243,Viktor,1273.0,-2,-7.0,5.0,154,83,71,9,1594686254,1594686254
6279,1683617,1243,Minh Râu,1292.0,2,-7.0,7.0,278,141,137,22,1594635239,1594635239
6280,1620531,1243,Crownie,1300.0,-1,-5.0,8.0,240,125,115,1,1594511839,1594511839
6281,218048,1243,Sata,1300.0,2,-4.0,5.0,111,59,52,3,1594694001,1594694001
6282,1355349,1243,Meriu,1243.0,2,-1.0,5.0,20,14,6,0,1594218042,1594218042
6283,1233708,1243,Hobohitchhiker,1259.0,1,-8.0,6.0,247,127,120,3,1594609202,1594609202
6284,208321,1243,Eternal,1341.0,1,-7.0,13.0,102,58,44,4,1592580824,1592580824
6285,1215433,1243,HebeStar,1258.0,-1,-6.0,5.0,196,101,95,2,1594656731,1594656731
6286,278252,1242,EstebanVM,1372.0,-1,-4.0,2.0,28,16,12,0,1594532664,1594532664
6287,277773,1242,Caballo Loco,1242.0,1,-1.0,3.0,17,12,5,2,1592587865,1592587865
6288,1015283,1242,imdefinitelynotbobo,1242.0,2,-5.0,4.0,44,25,19,0,1593682544,1593682544
6289,1001712,1242,Mordred,1273.0,-2,-4.0,8.0,33,21,12,3,1593627416,1593627416
6290,902179,1242,Artorias,1311.0,1,-5.0,7.0,234,123,111,3,1594553768,1594553768
6291,894839,1242,Feathers McGraw,1257.0,1,-3.0,7.0,63,37,26,0,1594625928,1594625928
6292,757586,1242,khamul,1258.0,-1,-7.0,7.0,141,77,64,1,1594415797,1594415797
6293,704015,1242,chinito110,1293.0,1,-4.0,4.0,68,35,33,0,1593279764,1593279764
6294,79786,1242,RIP | JaMa42,1374.0,-2,-5.0,5.0,64,36,28,2,1593700059,1593700059
6295,628343,1242,WeRitO,1291.0,2,-5.0,5.0,42,24,18,2,1593416174,1593416174
6296,241430,1242,Scherby,1364.0,-2,-5.0,4.0,125,64,61,3,1594483717,1594483717
6297,560581,1242,Rodmantis,1275.0,-2,-3.0,5.0,52,26,26,0,1594684037,1594684037
6298,531517,1242,Hackuna,1242.0,1,-1.0,3.0,12,9,3,0,1592879912,1592879912
6299,451783,1242,Kap,1319.0,-3,-4.0,4.0,173,93,80,4,1594654713,1594654713
6300,202004,1242,Jarppi,1242.0,5,-3.0,5.0,39,24,15,1,1594422530,1594422530
6301,2828475,1242,Killiango,1300.0,-1,-2.0,6.0,26,16,10,0,1592494715,1592494715
6302,415665,1242,Momo,1348.0,-1,-7.0,6.0,183,97,86,0,1594632843,1594632843
6303,2789423,1242,FromEast,1288.0,3,-4.0,7.0,21,14,7,0,1594030612,1594030612
6304,2771555,1242,[LONGAS] _Pencil,1296.0,4,-6.0,7.0,92,49,43,1,1594676991,1594676991
6305,2631204,1242,_RyZeN_,1307.0,-2,-6.0,9.0,390,202,188,6,1594688766,1594688766
6306,2630701,1242,sebastianquijanog,1303.0,-2,-2.0,4.0,13,6,7,0,1593987600,1593987600
6307,2450716,1242,JongleurMage203,1250.0,1,-5.0,7.0,85,47,38,4,1592947536,1592947536
6308,2427050,1242,Red Cansky,1248.0,1,-1.0,2.0,12,9,3,0,1594670607,1594670607
6309,2417605,1242,[LXS] Hannibal,1274.0,-1,-2.0,4.0,38,21,17,0,1593199777,1593199777
6310,2303835,1242,TantGredelin,1273.0,-2,-3.0,5.0,63,36,27,0,1594508546,1594508546
6311,2290571,1242,PinkPanther von Tilt,1392.0,-1,-5.0,3.0,43,17,26,1,1594316588,1594316588
6312,2286370,1242,Chos3n,1272.0,-1,-3.0,2.0,15,10,5,0,1592828283,1592828283
6313,2076077,1242,SuperWheatz,1242.0,3,-5.0,5.0,68,39,29,0,1594552814,1594552814
6314,221275,1242,Arqb | Purpleman,1242.0,2,-3.0,5.0,65,36,29,2,1594061536,1594061536
6315,1909307,1242,cloaque,1279.0,2,-3.0,7.0,26,16,10,0,1594651264,1594651264
6316,1893315,1242,木匠,1463.0,-2,-11.0,3.0,57,21,36,0,1592458179,1592458179
6317,340326,1242,Thirty9,1377.0,1,-9.0,7.0,582,298,284,14,1594558204,1594558204
6318,1792559,1242,hurljack,1266.0,1,-7.0,5.0,127,70,57,0,1594670732,1594670732
6319,1621532,1242,[ARBISS] Rigobert Rügenwalder,1265.0,2,-3.0,3.0,26,11,15,0,1594350887,1594350887
6320,1617039,1242,RemBem,1264.0,3,-4.0,4.0,140,74,66,2,1594581178,1594581178
6321,217354,1242,FoX,1296.0,-2,-3.0,3.0,15,9,6,0,1594355650,1594355650
6322,300967,1242,FrenziedYak8122,1289.0,-3,-4.0,7.0,139,79,60,0,1594528533,1594528533
6323,1298311,1242,hmpf,1322.0,-5,-5.0,5.0,86,47,39,0,1592727896,1592727896
6324,1268037,1242,guibleh,1290.0,-1,-6.0,7.0,293,155,138,2,1593551990,1593551990
6325,1198760,1242,Axxel5597,1336.0,3,-7.0,8.0,1032,529,503,22,1594686889,1594686889
6326,1180248,1241,Feargoras,1386.0,-1,-10.0,9.0,152,79,73,6,1594682194,1594682194
6327,283055,1241,norakuro,1279.0,1,-3.0,7.0,161,87,74,2,1594462963,1594462963
6328,1018356,1241,A E S T H E T I C 営佳　ろやーほ移ロチ,1303.0,-1,-6.0,6.0,181,95,86,3,1594668178,1594668178
6329,1013995,1241,Babifort,1241.0,3,-6.0,6.0,296,155,141,4,1594283108,1594283108
6330,921592,1241,Captain Falcon,1300.0,1,-5.0,6.0,38,22,16,0,1594635145,1594635145
6331,847777,1241,MrStabbers,1257.0,-1,-7.0,6.0,136,73,63,0,1594344590,1594344590
6332,700599,1241,Fiedel der Eroberer IV,1258.0,1,-6.0,6.0,248,131,117,2,1594284880,1594284880
6333,246664,1241,Captain Pugwash,1298.0,-1,-5.0,9.0,322,166,156,16,1593729267,1593729267
6334,631730,1241,LazerWolfe,1343.0,1,-9.0,8.0,223,117,106,2,1593904524,1593904524
6335,571499,1241,nicorreau,1241.0,4,2.0,4.0,12,9,3,0,1593363176,1593363176
6336,459375,1241,the_1king,1319.0,-1,-5.0,5.0,153,82,71,1,1594689717,1594689717
6337,228429,1241,Eaglebeak17,1285.0,-3,-5.0,6.0,258,134,124,5,1594412877,1594412877
6338,2867820,1241,WHO JeCa,1241.0,1,-2.0,2.0,14,10,4,0,1593863573,1593863573
6339,2659626,1241,Get Money Yah Yah,1259.0,-1,-5.0,4.0,90,51,39,1,1594676256,1594676256
6340,2524513,1241,ramimorales160,1299.0,-2,-3.0,4.0,41,23,18,1,1594682809,1594682809
6341,2520267,1241,KillerMiller,1241.0,2,-4.0,7.0,44,24,20,0,1594403307,1594403307
6342,2469889,1241,CrixX | @ nixtreff,1381.0,1,-6.0,6.0,121,65,56,0,1594227091,1594227091
6343,2099654,1241,[SyNx] Trickyj23,1430.0,-1,-6.0,10.0,350,181,169,1,1594597812,1594597812
6344,2044233,1241,Hitchcock 99,1244.0,1,-4.0,9.0,52,31,21,0,1594520887,1594520887
6345,2037533,1241,laaplanadora,1275.0,-2,-2.0,-1.0,11,5,6,0,1594444553,1594444553
6346,2019006,1241,devaluaNico,1241.0,5,-4.0,5.0,62,35,27,3,1594328619,1594328619
6347,1942599,1241,Klip,1251.0,4,-3.0,6.0,42,25,17,1,1594509685,1594509685
6348,1960242,1241,GameOver,1254.0,-1,-4.0,5.0,129,70,59,0,1594596657,1594596657
6349,1957604,1241,westemnet,1242.0,2,-2.0,4.0,26,14,12,0,1594074143,1594074143
6350,1712988,1241,thomas.frith,1275.0,2,-8.0,5.0,259,132,127,7,1594643877,1594643877
6351,1669455,1241,Nos',1245.0,2,-3.0,4.0,50,29,21,0,1594198763,1594198763
6352,1420643,1241,frog,1254.0,-1,-7.0,6.0,48,28,20,0,1594169744,1594169744
6353,1406543,1241,這不是身分證b123340886,1273.0,5,-6.0,7.0,438,225,213,3,1593921601,1593921601
6354,1381286,1241,Oromis,1299.0,1,-3.0,1.0,17,11,6,0,1592669243,1592669243
6355,216304,1241,Yunus,1323.0,-5,-5.0,11.0,129,71,58,1,1594579357,1594579357
6356,1239736,1241,terrobladediao,1272.0,-1,-7.0,8.0,245,130,115,5,1592277286,1592277286
6357,1223646,1241,-|V|-stemitchell91,1285.0,2,-7.0,6.0,249,133,116,1,1594681337,1594681337
6358,1010502,1240,langdd,1240.0,1,-4.0,3.0,44,26,18,4,1593564636,1593564636
6359,977385,1240,KARVEN,1291.0,-2,-5.0,6.0,115,62,53,0,1594653430,1594653430
6360,268720,1240,LuxAfLeX,1310.0,-1,-5.0,7.0,295,153,142,9,1594680066,1594680066
6361,900554,1240,alanr,1280.0,-1,-13.0,16.0,699,345,354,159,1593797530,1593797530
6362,859770,1240,Zocker_Alf,1299.0,-1,-5.0,5.0,97,53,44,2,1594666965,1594666965
6363,772547,1240,Ango Mango,1286.0,1,-4.0,8.0,70,42,28,1,1592358139,1592358139
6364,256590,1240,Lucas Ducas,1260.0,5,-4.0,5.0,43,24,19,0,1594597263,1594597263
6365,734760,1240,tiburosnin,1240.0,2,-4.0,8.0,117,65,52,4,1592382599,1592382599
6366,246403,1240,sometimer,1373.0,-1,-5.0,6.0,252,132,120,0,1594658223,1594658223
6367,539001,1240,tt200x,1252.0,3,-2.0,3.0,23,15,8,0,1594653006,1594653006
6368,535864,1240,JoshSA,1294.0,-1,-7.0,8.0,320,167,153,7,1594564636,1594564636
6369,233906,1240,Atomalex,1286.0,4,-6.0,9.0,946,481,465,34,1594669818,1594669818
6370,437806,1240,SmokizzMTL,1283.0,1,-6.0,7.0,160,88,72,7,1594140126,1594140126
6371,209485,1240,BombayGypsy,1258.0,2,-6.0,9.0,663,342,321,26,1594640264,1594640264
6372,3035693,1240,YoopaTroopa,1344.0,1,-4.0,4.0,40,22,18,0,1594688089,1594688089
6373,3027097,1240,Athenaeis,1334.0,-3,-3.0,4.0,44,25,19,0,1594664604,1594664604
6374,2882446,1240,Hard Basz,1261.0,-1,-2.0,3.0,18,12,6,0,1593543178,1593543178
6375,2846657,1240,Kavestro,1257.0,-1,-5.0,7.0,72,40,32,0,1594297909,1594297909
6376,2749542,1240,nico 23,1366.0,-1,-6.0,4.0,55,29,26,0,1594316243,1594316243
6377,226135,1240,stoke,1302.0,1,-5.0,6.0,365,190,175,7,1594207787,1594207787
6378,398159,1240,soulchimp,1240.0,4,-3.0,4.0,38,22,16,0,1594440606,1594440606
6379,2549749,1240,agonzalezc,1297.0,2,-7.0,7.0,234,121,113,3,1594688758,1594688758
6380,2497644,1240,LongtimeCrowd71,1273.0,-1,-6.0,8.0,62,38,24,3,1593341069,1593341069
6381,386766,1240,LouMadman,1269.0,-1,-5.0,7.0,301,155,146,9,1594300688,1594300688
6382,2167613,1240,TheLostMapp,1240.0,2,1.0,2.0,11,6,5,0,1594561256,1594561256
6383,2119510,1240,EL GORDO VALOR,1240.0,2,-3.0,3.0,25,13,12,0,1594513334,1594513334
6384,2063614,1240,JACKO,1286.0,1,-3.0,6.0,59,34,25,0,1594311152,1594311152
6385,2036801,1240,AtticSalt,1240.0,3,-7.0,9.0,222,119,103,3,1594612546,1594612546
6386,348720,1240,unemployed Communist,1254.0,1,-3.0,10.0,74,43,31,0,1592422078,1592422078
6387,335900,1240,Gorion's Ward,1240.0,3,-3.0,4.0,91,50,41,5,1592743483,1592743483
6388,1808121,1240,Negrev,1283.0,2,-7.0,7.0,327,174,153,5,1594606344,1594606344
6389,1788915,1240,AlekS,1240.0,6,-9.0,6.0,102,57,45,0,1594572534,1594572534
6390,1709465,1240,unski,1270.0,3,-6.0,5.0,191,100,91,2,1593549298,1593549298
6391,1674950,1240,actias,1321.0,-3,-3.0,3.0,15,10,5,0,1594579628,1594579628
6392,1540424,1240,AutrucheBavarde,1401.0,2,-7.0,7.0,354,180,174,1,1593955446,1593955446
6393,1470536,1240,Sganarelle,1241.0,1,-1.0,2.0,17,9,8,0,1594344905,1594344905
6394,1432909,1240,bubuz,1254.0,3,-5.0,5.0,88,50,38,1,1594587395,1594587395
6395,216397,1240,Cpt. Balu,1296.0,-3,-4.0,3.0,49,26,23,1,1594165961,1594165961
6396,791156,1240,_TheGedster_,1409.0,-1,-5.0,3.0,37,19,18,0,1593464421,1593464421
6397,287707,1240,Hot Beef,1240.0,1,-2.0,8.0,38,26,12,1,1594402529,1594402529
6398,214956,1239,Failiix LFG,1248.0,2,-2.0,3.0,19,13,6,0,1593690647,1593690647
6399,838449,1239,HAHA,1267.0,-2,-3.0,4.0,31,15,16,0,1594655446,1594655446
6400,804099,1239,D5楚云飞,1239.0,-1,-1.0,-1.0,10,5,5,0,1594581856,1594581856
6401,749114,1239,伶俜,1255.0,-1,-4.0,5.0,48,26,22,0,1594526064,1594526064
6402,701242,1239,Liam Löwenzahn,1240.0,1,-5.0,6.0,117,65,52,0,1594482667,1594482667
6403,653383,1239,Anticounselor,1280.0,1,-2.0,2.0,34,20,14,0,1594269568,1594269568
6404,618393,1239,Anil 'Der Boss' Y.,1327.0,2,-5.0,8.0,144,75,69,2,1594215374,1594215374
6405,553029,1239,Mr_Bonales,1270.0,3,-7.0,5.0,153,80,73,7,1594684502,1594684502
6406,513792,1239,Amatérský_Psychonátlak,1282.0,-2,-6.0,7.0,186,100,86,1,1592592858,1592592858
6407,505608,1239,lucky0815,1239.0,1,-1.0,3.0,21,12,9,0,1592770367,1592770367
6408,446704,1239,ciarangc,1355.0,-2,-6.0,6.0,311,159,152,3,1594662975,1594662975
6409,426665,1239,AncientLocky,1328.0,-1,-5.0,5.0,68,37,31,1,1593371028,1593371028
6410,2872697,1239,Radaelli,1371.0,1,-5.0,4.0,40,15,25,0,1594668994,1594668994
6411,2699106,1239,Geralt of Rivia,1295.0,3,-17.0,28.0,142,74,68,1,1593561440,1593561440
6412,2667239,1239,Ringss,1314.0,-2,-6.0,7.0,210,110,100,2,1594680511,1594680511
6413,2574961,1239,Rabbit,1291.0,1,-8.0,5.0,270,141,129,0,1594424284,1594424284
6414,2459789,1239,TzamTzam,1317.0,-2,-4.0,5.0,218,113,105,1,1594234910,1594234910
6415,2409999,1239,R'wan,1239.0,3,3.0,3.0,10,8,2,0,1592884984,1592884984
6416,2236507,1239,Hannodins,1281.0,-2,-10.0,2.0,17,4,13,0,1594139216,1594139216
6417,2214887,1239,.-|MP|-. layc0ni,1274.0,4,-4.0,4.0,36,21,15,1,1594434238,1594434238
6418,2014549,1239,Toad,1239.0,2,-7.0,10.0,64,39,25,2,1592620369,1592620369
6419,1895706,1239,NyaaS,1256.0,-1,-5.0,7.0,123,68,55,3,1594508053,1594508053
6420,334715,1239,Riblion,1250.0,1,-4.0,8.0,126,72,54,2,1592848026,1592848026
6421,1797197,1239,Amye,1259.0,7,-5.0,7.0,123,65,58,1,1594651233,1594651233
6422,1785231,1239,SpaghettiKing,1239.0,3,-5.0,7.0,362,190,172,1,1594589168,1594589168
6423,329399,1239,Med247,1320.0,1,-5.0,14.0,157,86,71,2,1593425161,1593425161
6424,330293,1239,Dubi,1301.0,-2,-5.0,4.0,37,17,20,0,1594290789,1594290789
6425,1211475,1239,web,1307.0,-1,-5.0,7.0,78,42,36,0,1592410944,1592410944
6426,1417169,1239,1000x cooler,1290.0,-2,-12.0,8.0,278,147,131,0,1594651265,1594651265
6427,1383558,1239,Yasama,1239.0,4,-7.0,18.0,44,28,16,0,1594179891,1594179891
6428,1336080,1239,tavel,1271.0,-2,-5.0,6.0,83,48,35,0,1594305510,1594305510
6429,1316983,1239,wumblebumble,1303.0,-3,-5.0,6.0,200,107,93,1,1594571954,1594571954
6430,283388,1238,[Shompires] NooX,1255.0,-1,-3.0,4.0,42,26,16,1,1594447128,1594447128
6431,1077025,1238,Benpat,1271.0,4,-8.0,6.0,110,58,52,0,1594594658,1594594658
6432,1014492,1238,Gun_Rose,1352.0,-1,-7.0,6.0,448,225,223,19,1594648950,1594648950
6433,998741,1238,jjhui,1316.0,-2,-7.0,7.0,461,237,224,6,1593772316,1593772316
6434,790566,1238,johansen,1300.0,-1,-6.0,6.0,245,128,117,1,1594231949,1594231949
6435,766871,1238,DdeJoor,1238.0,4,-1.0,4.0,22,13,9,3,1594543092,1594543092
6436,567256,1238,钱塘江客,1303.0,-2,-5.0,6.0,163,88,75,5,1594640402,1594640402
6437,562299,1238,CoronaWigga,1238.0,3,-4.0,5.0,82,49,33,3,1593928553,1593928553
6438,516153,1238,n0x,1292.0,-2,-2.0,2.0,15,10,5,0,1593630636,1593630636
6439,503114,1238,wantyoufly,1277.0,-1,-5.0,11.0,149,82,67,1,1594659819,1594659819
6440,436584,1238,Wereman343,1285.0,-3,-3.0,5.0,27,13,14,0,1593586689,1593586689
6441,2932857,1238,TopWater11,1347.0,-1,-8.0,9.0,62,32,30,0,1594578375,1594578375
6442,424656,1238,Comte Alex de Barcelona,1286.0,-1,-3.0,7.0,70,40,30,1,1594465077,1594465077
6443,2722654,1238,RustyDusty,1299.0,1,-9.0,4.0,48,21,27,1,1594685178,1594685178
6444,407072,1238,Wolfy,1310.0,4,-5.0,4.0,82,43,39,1,1593858707,1593858707
6445,2684082,1238,Chete,1283.0,1,-4.0,4.0,24,15,9,0,1594149212,1594149212
6446,404935,1238,Mr_MagX,1365.0,-1,-5.0,6.0,136,72,64,4,1593641737,1593641737
6447,386523,1238,123,1295.0,-3,-4.0,6.0,197,106,91,1,1594412523,1594412523
6448,10946,1238,DeJake | twatch.teevee,1270.0,-1,-5.0,8.0,265,139,126,4,1593517235,1593517235
6449,2087275,1238,TheFridgeGuy,1302.0,-4,-5.0,8.0,227,120,107,0,1594211444,1594211444
6450,2046575,1238,Steezebeans,1291.0,-2,-4.0,5.0,135,69,66,0,1594027857,1594027857
6451,1722684,1238,Be My Baby,1238.0,1,-3.0,1.0,13,7,6,0,1594422388,1594422388
6452,1702238,1238,T_Dogg,1274.0,-1,-5.0,3.0,36,20,16,0,1594011473,1594011473
6453,322534,1238,Noszombie,1334.0,3,-7.0,8.0,550,286,264,2,1594635575,1594635575
6454,217750,1238,man,1356.0,1,-6.0,6.0,361,188,173,28,1593440138,1593440138
6455,1463745,1238,TwoTowers,1319.0,-1,-3.0,3.0,33,19,14,1,1594639342,1594639342
6456,1349232,1238,Mask,1273.0,-1,-6.0,5.0,190,98,92,5,1594672937,1594672937
6457,1263412,1238,St.chapito222,1252.0,1,-6.0,6.0,92,51,41,1,1594681595,1594681595
6458,1221504,1238,rusolli,1238.0,3,-5.0,5.0,66,37,29,1,1593243727,1593243727
6459,1095455,1237,Tepico,1288.0,1,-5.0,8.0,266,138,128,2,1594320998,1594320998
6460,1053335,1237,Malfoy,1300.0,1,-5.0,5.0,74,42,32,2,1594397325,1594397325
6461,1049324,1237,Barnabas the Chill,1269.0,4,-5.0,6.0,84,45,39,4,1594055620,1594055620
